dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-15,Barcelona,London Gatwick,2019-10-07T12:35:00,2019-10-07T13:55:00,140,8072,Vueling Airlines,VY,63.7
2019-04-15,Barcelona,London Heathrow,2019-10-07T13:35:00,2019-10-07T14:55:00,140,7485,British Airways,BA,130.9
2019-04-15,Barcelona,London Gatwick,2019-10-07T17:25:00,2019-10-07T18:45:00,140,7824,Vueling Airlines,VY,73.0
2019-04-15,Barcelona,London Gatwick,2019-10-07T12:35:00,2019-10-07T13:55:00,140,7826,Vueling Airlines,VY,64.65
2019-04-15,Barcelona,London Heathrow,2019-10-07T07:10:00,2019-10-07T08:35:00,145,477,British Airways,BA,74.05
2019-04-15,Barcelona,London Gatwick,2019-10-07T07:05:00,2019-10-07T08:25:00,140,5047,Vueling Airlines,VY,58.5
2019-04-15,Barcelona,London Gatwick,2019-10-07T19:40:00,2019-10-07T21:00:00,140,5552,Vueling Airlines,VY,58.5
2019-04-15,Barcelona,London Heathrow,2019-10-07T18:20:00,2019-10-07T19:40:00,140,481,British Airways,BA,82.73
2019-04-15,Barcelona,London Gatwick,2019-10-07T19:00:00,2019-10-07T20:20:00,140,7820,Vueling Airlines,VY,73.0
2019-04-15,Barcelona,London Heathrow,2019-10-07T20:35:00,2019-10-07T21:50:00,135,487,British Airways,BA,65.44
2019-04-15,Barcelona,London Heathrow,2019-10-07T14:50:00,2019-10-07T16:10:00,140,7477,British Airways,BA,94.9
2019-04-15,Barcelona,London Heathrow,2019-10-07T11:40:00,2019-10-07T13:05:00,145,7480,British Airways,BA,94.9
2019-04-15,Barcelona,London Luton,2019-10-07T10:50:00,2019-10-07T12:15:00,145,2264,easyJet,EZY,92.0
2019-04-15,Barcelona,London Luton,2019-10-07T21:40:00,2019-10-07T23:00:00,140,2268,easyJet,EZY,65.0
2019-04-15,Barcelona,London Heathrow,2019-10-07T13:35:00,2019-10-07T14:55:00,140,485,British Airways,BA,118.17
2019-04-15,Barcelona,London Gatwick,2019-10-07T15:20:00,2019-10-07T16:50:00,150,8574,easyJet,EZY,125.0
2019-04-15,Barcelona,London Gatwick,2019-10-07T20:30:00,2019-10-07T21:55:00,145,8578,easyJet,EZY,71.0
2019-04-15,Barcelona,London Gatwick,2019-10-07T19:00:00,2019-10-07T20:20:00,140,8066,Vueling Airlines,VY,85.28
2019-04-15,Barcelona,London Heathrow,2019-10-07T20:05:00,2019-10-07T21:25:00,140,407,British Airways,BA,65.44
2019-04-15,Barcelona,London Luton,2019-10-07T19:50:00,2019-10-07T21:05:00,135,7808,Ryanair,FR,31.68
2019-04-15,Barcelona,London Gatwick,2019-10-07T17:25:00,2019-10-07T18:45:00,140,5521,Vueling Airlines,VY,66.5
2019-04-15,Barcelona,London Heathrow,2019-10-07T14:50:00,2019-10-07T16:10:00,140,475,British Airways,BA,82.73
2019-04-15,Barcelona,London Heathrow,2019-10-07T11:40:00,2019-10-07T13:05:00,145,479,British Airways,BA,91.34
2019-04-15,Barcelona,London Stansted,2019-10-07T14:20:00,2019-10-07T15:50:00,150,9015,Ryanair,FR,37.73
2019-04-15,Barcelona,London Gatwick,2019-10-07T19:40:00,2019-10-07T21:00:00,140,7828,Vueling Airlines,VY,64.65
2019-04-15,Barcelona,London Southend,2019-10-07T20:55:00,2019-10-07T22:15:00,140,7382,easyJet,EZY,86.0
2019-04-15,Barcelona,London Gatwick,2019-10-07T19:00:00,2019-10-07T20:20:00,140,5118,Vueling Airlines,VY,66.5
2019-04-15,Barcelona,London Gatwick,2019-10-07T17:25:00,2019-10-07T18:40:00,135,5502,Norwegian Air International,D8,68.8
