dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T07:50:00,2019-09-11T09:55:00,125,5292,Vueling Airlines,VY,136.97
2019-04-03,Barcelona,Paris Orly,2019-09-11T20:20:00,2019-09-11T22:10:00,110,5278,Vueling Airlines,VY,118.82
2019-04-03,Barcelona,Paris Orly,2019-09-11T19:20:00,2019-09-11T21:10:00,110,8022,Vueling Airlines,VY,144.01
2019-04-03,Barcelona,Paris Orly,2019-09-11T14:05:00,2019-09-11T15:55:00,110,8018,Vueling Airlines,VY,138.0
2019-04-03,Barcelona,Paris Beauvais,2019-09-11T19:15:00,2019-09-11T21:15:00,120,6355,Ryanair,FR,17.08
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T18:05:00,2019-09-11T20:05:00,120,3922,easyJet,EZY,149.43
2019-04-03,Barcelona,Paris Orly,2019-09-11T11:05:00,2019-09-11T12:55:00,110,8016,Vueling Airlines,VY,144.01
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T18:55:00,2019-09-11T21:00:00,125,8226,Vueling Airlines,VY,146.59
2019-04-03,Barcelona,Paris Orly,2019-09-11T19:20:00,2019-09-11T21:10:00,110,5276,Vueling Airlines,VY,129.91
2019-04-03,Barcelona,Paris Orly,2019-09-11T14:05:00,2019-09-11T15:55:00,110,5088,Vueling Airlines,VY,118.82
2019-04-03,Barcelona,Paris Beauvais,2019-09-11T06:30:00,2019-09-11T08:30:00,120,6374,Ryanair,FR,28.74
2019-04-03,Barcelona,Paris Orly,2019-09-11T09:35:00,2019-09-11T11:25:00,110,5038,Vueling Airlines,VY,136.97
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T13:00:00,2019-09-11T15:05:00,125,3920,easyJet,EZY,150.29
2019-04-03,Barcelona,Paris Orly,2019-09-11T09:35:00,2019-09-11T11:25:00,110,8008,Vueling Airlines,VY,150.88
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T16:20:00,2019-09-11T18:25:00,125,8244,Vueling Airlines,VY,146.59
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T20:10:00,2019-09-11T22:15:00,125,8248,Vueling Airlines,VY,46.09
2019-04-03,Barcelona,Paris Orly,2019-09-11T07:00:00,2019-09-11T08:50:00,110,5268,Vueling Airlines,VY,136.97
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T20:10:00,2019-09-11T22:15:00,125,5116,Vueling Airlines,VY,118.82
2019-04-03,Barcelona,Paris Orly,2019-09-11T07:00:00,2019-09-11T08:50:00,110,8012,Vueling Airlines,VY,150.88
2019-04-03,Barcelona,Paris Orly,2019-09-11T06:00:00,2019-09-11T07:50:00,110,8036,Vueling Airlines,VY,144.01
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T16:20:00,2019-09-11T18:25:00,125,5294,Vueling Airlines,VY,129.91
2019-04-03,Barcelona,Paris Orly,2019-09-11T06:00:00,2019-09-11T07:50:00,110,5266,Vueling Airlines,VY,129.91
2019-04-03,Barcelona,Paris Orly,2019-09-11T11:05:00,2019-09-11T12:55:00,110,5270,Vueling Airlines,VY,129.91
2019-04-03,Barcelona,Paris Orly,2019-09-11T08:20:00,2019-09-11T10:10:00,110,5754,Vueling Airlines,VY,136.97
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T10:05:00,2019-09-11T12:05:00,120,1149,Air France,AF,140.27
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T18:05:00,2019-09-11T20:00:00,115,2246,Air France,AF,179.56
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T18:55:00,2019-09-11T21:00:00,125,5866,Vueling Airlines,VY,129.91
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T12:20:00,2019-09-11T14:15:00,115,1349,Air France,AF,116.06
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T15:15:00,2019-09-11T17:10:00,115,1649,Air France,AF,116.06
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T18:05:00,2019-09-11T20:00:00,115,1549,Air France,AF,116.06
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T06:15:00,2019-09-11T08:15:00,120,1449,Air France,AF,116.06
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T20:25:00,2019-09-11T22:20:00,115,2245,Air France,AF,179.56
2019-04-03,Barcelona,Paris Orly,2019-09-11T20:20:00,2019-09-11T22:10:00,110,8028,Vueling Airlines,VY,46.09
2019-04-03,Barcelona,Paris Orly,2019-09-11T17:35:00,2019-09-11T19:25:00,110,8020,Vueling Airlines,VY,144.01
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T07:50:00,2019-09-11T09:55:00,125,8242,Vueling Airlines,VY,155.17
2019-04-03,Barcelona,Paris Orly,2019-09-11T08:20:00,2019-09-11T10:10:00,110,8024,Vueling Airlines,VY,150.88
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T20:25:00,2019-09-11T22:20:00,115,1249,Air France,AF,116.06
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T09:55:00,2019-09-11T11:55:00,120,3916,easyJet,EZY,166.34
